operator_id,total_calls,missed_rate_row,mean_wait,outgoing_calls,ineff_score,priority
952466.0,134,0.75,546.75,4,0.8788461538461538,HIGH
928518.0,337,0.5714285714285714,1106.5714285714287,7,0.858470695970696,HIGH
938080.0,742,0.5555555555555556,1876.2222222222222,9,0.8583333333333334,HIGH
937650.0,91,0.8333333333333334,277.1666666666667,6,0.850412087912088,MEDIUM
965544.0,1277,0.5384615384615384,1928.3846153846155,13,0.8410714285714286,MEDIUM
896386.0,76,0.5,925.0,2,0.8383699633699634,MEDIUM
938078.0,856,0.5384615384615384,1566.3076923076924,13,0.8375,MEDIUM
919188.0,864,0.5384615384615384,1453.4615384615386,13,0.8361263736263737,MEDIUM
953458.0,61,0.7142857142857143,170.71428571428572,7,0.821062271062271,MEDIUM
938070.0,671,0.5,1745.25,8,0.8196886446886447,MEDIUM
945728.0,117,0.7272727272727273,220.8181818181818,11,0.8184981684981685,MEDIUM
928228.0,69,0.6666666666666666,159.83333333333334,6,0.8181318681318681,MEDIUM
951648.0,161,0.5,728.75,4,0.8171245421245421,MEDIUM
921574.0,1778,0.5384615384615384,1557.2307692307693,26,0.8154304029304029,MEDIUM
919362.0,2546,0.5483870967741935,1999.7096774193549,31,0.8151556776556776,HIGH
919382.0,1827,0.5555555555555556,1259.148148148148,27,0.8148351648351648,HIGH
919306.0,1664,0.5517241379310345,1323.7586206896551,29,0.8137362637362637,HIGH
919162.0,2933,0.5454545454545454,1929.3636363636363,33,0.8108516483516484,HIGH
919314.0,2794,0.5454545454545454,1898.2121212121212,33,0.8103021978021978,HIGH
919200.0,1297,0.5555555555555556,1048.5555555555557,27,0.8101648351648352,HIGH
919390.0,831,0.5294117647058824,857.7058823529412,17,0.8101648351648352,MEDIUM
919476.0,2105,0.5483870967741935,1463.3548387096773,31,0.8099358974358974,HIGH
919192.0,2233,0.5588235294117647,1314.1470588235295,34,0.8086080586080586,HIGH
896390.0,97,0.6,197.1,10,0.806639194139194,MEDIUM
919504.0,2214,0.5185185185185185,1882.888888888889,27,0.8052655677655678,MEDIUM
932498.0,342,0.5555555555555556,396.3888888888889,17,0.8041208791208792,HIGH
919482.0,1549,0.52,1309.2,25,0.8035256410256411,MEDIUM
941390.0,377,0.5,732.125,7,0.8031135531135531,MEDIUM
952458.0,1738,0.65,874.2,40,0.802014652014652,HIGH
921592.0,1805,0.5185185185185185,1509.7407407407406,27,0.8019688644688644,MEDIUM
972410.0,77,0.5,374.5,4,0.8011904761904762,LOW
953462.0,761,0.6764705882352942,394.1470588235294,34,0.7995421245421246,MEDIUM
919302.0,2528,0.5277777777777778,1835.0277777777778,36,0.7981684981684982,MEDIUM
919364.0,5096,0.5348837209302325,2841.4651162790697,43,0.7960622710622711,MEDIUM
965542.0,776,0.5,1280.357142857143,14,0.7956043956043956,MEDIUM
919906.0,1710,0.5641025641025641,1021.1025641025641,39,0.7947802197802198,HIGH
921584.0,1346,0.5333333333333333,880.7,30,0.7926739926739927,MEDIUM
945894.0,1506,0.5,1499.1666666666667,18,0.7924908424908425,MEDIUM
952468.0,1184,0.6585365853658537,512.7317073170732,41,0.7912087912087913,MEDIUM
919378.0,1227,0.5,1385.111111111111,18,0.7908424908424908,MEDIUM
919318.0,1846,0.5161290322580645,1162.0645161290322,31,0.7871794871794872,MEDIUM
920414.0,1266,0.5,1264.35,20,0.7844322344322344,MEDIUM
945288.0,2260,0.5263157894736842,1110.2631578947369,38,0.7836080586080586,MEDIUM
923666.0,2074,0.5263157894736842,1094.078947368421,38,0.783058608058608,MEDIUM
945278.0,4314,0.5208333333333334,2858.4791666666665,48,0.7801282051282051,MEDIUM
922710.0,1784,0.5,1431.576923076923,26,0.7789377289377288,MEDIUM
945294.0,3434,0.5121951219512195,1610.341463414634,41,0.7782967032967033,MEDIUM
902776.0,1824,0.5714285714285714,805.5510204081633,49,0.7775183150183149,HIGH
919194.0,1565,0.5365853658536586,842.5365853658536,41,0.7771062271062272,MEDIUM
910530.0,1077,0.5172413793103449,610.6206896551724,29,0.777106227106227,MEDIUM
919370.0,1324,0.5,1208.5833333333333,24,0.777106227106227,MEDIUM
945318.0,1998,0.5142857142857142,1060.8285714285714,35,0.7766941391941392,MEDIUM
919198.0,1113,0.5,1006.2727272727273,22,0.7743589743589744,MEDIUM
902748.0,2831,0.5846153846153846,941.8,65,0.772985347985348,HIGH
909502.0,865,0.55,444.125,40,0.7710164835164836,HIGH
945284.0,2210,0.5227272727272727,915.4772727272727,44,0.7691391941391942,MEDIUM
952114.0,692,0.5,547.7,19,0.7690476190476191,MEDIUM
945904.0,4080,0.5,2128.657894736842,38,0.7681318681318682,MEDIUM
902774.0,1126,0.5862068965517241,482.7068965517241,58,0.7641941391941393,HIGH
902746.0,2748,0.6097560975609756,662.4146341463414,82,0.7621794871794872,HIGH
945286.0,7919,0.5211267605633803,2185.774647887324,71,0.7616300366300367,MEDIUM
902744.0,3457,0.6206896551724138,659.6321839080459,87,0.7597069597069598,HIGH
929426.0,12041,0.5147058823529411,3316.5588235294117,68,0.7595695970695971,MEDIUM
902782.0,1473,0.582089552238806,524.1492537313433,67,0.7590659340659341,HIGH
902778.0,1327,0.5660377358490566,428.9622641509434,53,0.7583333333333333,MEDIUM
921594.0,1145,0.47368421052631576,1223.0526315789473,19,0.7577838827838829,MEDIUM
899968.0,407,0.5454545454545454,242.75757575757575,33,0.7572802197802198,HIGH
938074.0,664,0.45454545454545453,1276.5454545454545,11,0.7562271062271062,MEDIUM
919372.0,1627,0.48148148148148145,1447.7777777777778,27,0.755540293040293,MEDIUM
921596.0,1502,0.48,1306.24,25,0.7553571428571428,MEDIUM
952460.0,199,0.5925925925925926,135.62962962962962,27,0.7545787545787546,MEDIUM
945308.0,1761,0.5,922.3333333333334,36,0.7534798534798535,MEDIUM
969386.0,55,0.5555555555555556,78.22222222222223,9,0.7528388278388278,MEDIUM
945304.0,2918,0.5,1285.0,44,0.7518315018315018,MEDIUM
919376.0,1415,0.48,1139.36,25,0.7517857142857143,MEDIUM
965540.0,919,0.47619047619047616,1053.904761904762,21,0.7517399267399268,MEDIUM
933244.0,86,0.5,157.4,8,0.7501831501831502,MEDIUM
945900.0,4817,0.5,1810.42,50,0.7488095238095237,MEDIUM
899964.0,470,0.5151515151515151,286.6363636363636,33,0.7476190476190476,HIGH
919196.0,2896,0.4864864864864865,1643.4054054054054,37,0.7476190476190476,MEDIUM
945320.0,2605,0.5,1092.5454545454545,44,0.7471611721611722,MEDIUM
945316.0,2751,0.5230769230769231,830.123076923077,65,0.746978021978022,MEDIUM
938072.0,494,0.4444444444444444,1017.8888888888889,9,0.7465201465201465,MEDIUM
945314.0,1861,0.5245901639344263,653.8852459016393,61,0.7458791208791208,MEDIUM
965538.0,548,0.4666666666666667,709.7333333333333,15,0.7457875457875457,MEDIUM
919456.0,1517,0.4827586206896552,1043.5172413793102,29,0.7448717948717949,MEDIUM
937372.0,1282,0.48,850.24,25,0.7438186813186813,MEDIUM
964716.0,326,0.55,114.45,20,0.7436355311355312,MEDIUM
899788.0,655,0.5238095238095238,298.8095238095238,42,0.7435897435897436,HIGH
899790.0,731,0.5,466.29411764705884,34,0.741941391941392,MEDIUM
945280.0,2538,0.5,1018.0217391304348,46,0.7413003663003662,MEDIUM
899932.0,779,0.5319148936170213,309.29787234042556,47,0.741117216117216,HIGH
954642.0,417,0.47058823529411764,503.4117647058824,17,0.740934065934066,MEDIUM
945324.0,2254,0.5,1131.7,50,0.7391941391941391,MEDIUM
929428.0,24572,0.5,5325.342857142857,70,0.7387362637362638,MEDIUM
919310.0,2569,0.5,1123.84,50,0.7386446886446886,MEDIUM
952116.0,354,0.4444444444444444,635.3333333333334,9,0.736904761904762,MEDIUM
934426.0,222,0.4,1062.2,5,0.7330586080586081,MEDIUM
910524.0,85,0.5,127.4,10,0.7314102564102564,MEDIUM
919910.0,377,0.5,267.25,28,0.7312271062271062,HIGH
919202.0,2853,0.47619047619047616,1445.1190476190477,42,0.7308608058608059,MEDIUM
919128.0,388,0.4444444444444444,455.44444444444446,9,0.7303113553113554,LOW
919464.0,1296,0.46153846153846156,997.1923076923077,26,0.7293956043956044,MEDIUM
967310.0,59,0.5333333333333333,77.73333333333333,14,0.729029304029304,MEDIUM
945290.0,3943,0.5,1303.1756756756756,74,0.7265567765567765,MEDIUM
919206.0,1000,0.391304347826087,345.9130434782609,1,0.7258241758241758,LOW
919374.0,2214,0.45161290322580644,1719.0967741935483,31,0.7256410256410255,MEDIUM
945902.0,3310,0.4772727272727273,1255.2272727272727,44,0.7252747252747254,MEDIUM
920416.0,1697,0.4666666666666667,814.0,30,0.7239926739926739,MEDIUM
945296.0,2821,0.5061728395061729,649.2716049382716,81,0.7231684981684982,MEDIUM
939470.0,748,0.4666666666666667,454.26666666666665,23,0.7228021978021977,LOW
945282.0,2582,0.5,802.4333333333333,60,0.721978021978022,MEDIUM
960294.0,297,0.4666666666666667,271.46666666666664,14,0.721062271062271,MEDIUM
947592.0,910,0.48484848484848486,416.0,33,0.720467032967033,MEDIUM
906866.0,655,0.4827586206896552,360.7241379310345,29,0.7204212454212454,MEDIUM
899972.0,195,0.5714285714285714,94.6,35,0.7199175824175824,MEDIUM
919490.0,1803,0.4444444444444444,1308.0,27,0.7195054945054944,MEDIUM
945322.0,5015,0.4925373134328358,1581.2686567164178,67,0.7191391941391941,MEDIUM
945310.0,3580,0.46938775510204084,1606.7755102040817,49,0.7191391941391941,MEDIUM
900180.0,1904,0.5575221238938053,307.53097345132744,110,0.719139194139194,HIGH
947648.0,3071,0.46511627906976744,1305.1162790697674,43,0.7176282051282051,MEDIUM
893674.0,2701,0.5108695652173914,556.554347826087,92,0.7173992673992674,MEDIUM
952392.0,1557,0.4888888888888889,694.8888888888889,45,0.7173992673992673,MEDIUM
960672.0,278,0.5,163.29166666666666,24,0.7172161172161171,MEDIUM
891252.0,98,0.5333333333333333,64.0,15,0.7161172161172161,MEDIUM
902742.0,1232,0.5142857142857142,357.8142857142857,70,0.7159798534798535,HIGH
947604.0,976,0.5,377.1,49,0.715018315018315,MEDIUM
892028.0,1554,0.5070422535211268,392.3380281690141,71,0.7145604395604396,MEDIUM
947654.0,2619,0.46808510638297873,1243.8510638297873,47,0.7142399267399268,MEDIUM
945302.0,7059,0.4878048780487805,1889.9146341463415,82,0.7129120879120879,MEDIUM
908640.0,16699,0.46153846153846156,3456.4615384615386,52,0.7108974358974359,MEDIUM
